Name,Rating,Title,Nationality,Games,Rank,Fide Id,Year of Birth
Michal Krasenkow,2597,Grand Master,Poland,2373,258,1113100,1963
Ante Brkic,2597,Grand Master,Croatia,1542,259,14506688,1988
Zdenko Kozul,2597,Grand Master,Croatia,2761,260,14502879,1966
Weiqi Zhou,2597,Grand Master,China,630,261,8601674,1986
Chongsheng Zeng,2597,Grand Master,China,348,262,8603847,1993
Andriy Vovk,2597,Grand Master,Ukraine,466,263,14114470,1991
Aleksandr Shimanov,2597,Grand Master,Russian Federation,1095,264,4198603,1992
Shant Sargsyan,2596,Grand Master,Armenia,325,265,13306766,2002
Dimitri Reinderman,2596,Grand Master,Netherlands,1275,266,1001302,1972
Grzegorz Gajewski,2596,Grand Master,Poland,1155,267,1116207,1985
Ivan Sokolov,2595,Grand Master,Netherlands,2824,268,14400030,1968
Artyom Timofeev,2594,Grand Master,Russian Federation,1758,269,4140419,1985
Yang Wen,2594,Grand Master,China,775,270,8602956,1988
Peter Michalik,2594,Grand Master,Czech Republic,849,271,14907526,1990
Dragan Solak,2594,Grand Master,Turkey,1335,272,916811,1980
Yuniesky Quesada Perez,2593,Grand Master,United States,745,273,3504409,1984
